d,M,ε,fn,gt,mean,std,bias,bias2,variance,mse,ess,mcse
10,8192,0.1,x0y1,0.4178895209107935,0.4387536649639095,0.0008636876126371755,0.020864144053115985,0.0004353125070691751,7.459562922229037e-7,0.000436058463361398,5.172947228760447,0.0003797411548365794
10,8192,0.1,x1y0,0.41788952091079357,0.42455012780874485,0.0006508033378217287,0.006660606897951282,4.4363684249036204e-5,4.235449845199032e-7,4.4787229233556104e-5,16.9346938915938,0.00015814705038282777
10,8192,0.1,x1y1,0.6605254970854629,0.6291099136195746,0.0014898903314410504,-0.03141558346588835,0.0009869388845021975,2.219773199721523e-6,0.0009891586577019191,5.7282757685128365,0.0006225042819495983
10,8192,0.1,EZ,6.579404530724121,6.111283317592421,0.016847899796183747,-0.46812121313169985,0.21913747018389437,0.00028385172754224835,0.21942132191143662,3.78884742728572,0.008655501028664674
10,8192,0.1,EZ2,63.95959375237689,56.179919104700275,0.21814226214305485,-7.7796746476766145,60.523337623702254,0.04758604653288926,60.570923670235146,3.765105687110487,0.11242197918438261
10,8192,0.1,EZ3,871.2271767617401,739.1436943634766,3.023879494284797,-132.08348239826353,17446.046322452392,9.143847195956079,17455.190169648347,3.599575247148099,1.593818456261977
10,8192,1.0,x0y0,0.5692888363565467,0.5789930156284018,0.004241577512258041,0.009704179271855073,9.417109534030167e-5,1.7990979792493113e-5,0.00011216207513279478,256.9042630508045,0.00026463163033201096
10,8192,1.0,x0y1,0.3920392517353639,0.41255391704644884,0.0047551504892299,0.020514665311084923,0.00042085149282583106,2.2611456175223363e-5,0.00044346294900105443,200.56389722993444,0.0003357669037602993
10,8192,1.0,x1y0,0.39203925173536397,0.40171880401503335,0.00499383881591193,0.009679552279669379,9.369373233485267e-5,2.493842611930866e-5,0.00011863215845416133,515.564160090233,0.00021993439910133423
10,8192,1.0,x1y1,0.5081499640351659,0.5249713995841984,0.004524219785697075,0.016821435549032482,0.0002829606939302537,2.0468564669292886e-5,0.0003034292585995466,651.8442636787487,0.00017720328585763492
10,8192,1.0,EZ,5.032464353851365,5.057156647150693,0.008551844421645426,0.024692293299327872,0.0006097093483800321,7.3134043012028e-5,0.0006828433913920601,479.0862943298014,0.00039070855261587344
10,8192,1.0,EZ2,43.80946529585897,44.83572534617616,0.1297406459753449,1.026260050317191,1.0532096908770434,0.016832635218099783,1.0700423260951433,90.2151251387593,0.013659549553775869
10,8192,1.0,EZ3,560.9979448865065,598.1805809235453,3.3345957726314928,37.18263603703883,1382.548422662899,11.119528966851822,1393.6679516297509,36.8056645265868,0.5496495333642625
30,128,0.05,x0y0,0.7474227196093675,0.5665780887897883,7.604772004643418e-5,-0.18084463081957913,0.03270478049626987,5.783255724260827e-9,0.03270478627952559,1000.0,2.4048400620957783e-6
30,128,0.05,x0y1,0.41587478331369054,0.4004841967229564,1.231205914270186e-5,-0.015390586590734168,0.00023687015560688637,1.5158680033338846e-10,0.0002368703071936867,1000.0,3.893414957763794e-7
30,128,0.05,x1y0,0.4158747833136906,0.34620962029933255,0.0003115178783599605,-0.06966516301435804,0.00485323493781708,9.704338853789113e-8,0.004853331981205617,1000.0,9.851060274807536e-6
30,128,0.05,x1y1,0.6698214375125249,0.24216358240870806,5.043447114570912e-5,-0.4276578551038168,0.1828912410319972,2.543635879747366e-9,0.18289124357563308,1000.0,1.5948780140648269e-6
30,128,0.05,EZ,19.11224169574451,10.146318860717274,5.227003525155311e-5,-8.965922835027234,80.3877722836628,2.732156585198604e-9,80.38777228639495,1000.0,1.6529236477220007e-6
30,128,0.05,EZ2,425.79997659416125,130.03019821458824,0.0024206738699740532,-295.76977837957304,87479.76180270175,5.85966198477516e-6,87479.76180856141,1000.0,7.654842901572285e-5
30,128,0.05,EZ3,11071.462087832115,1997.6076374827912,0.04142186267268792,-9073.854450349323,8.233483458612421e7,0.001715770707275017,8.233483458783998e7,1000.0,0.001309874309724035
30,128,0.1,x0y0,0.7353974233983906,0.3872048959587913,0.013371124515736106,-0.34819252743959933,0.12123803616477613,0.00017878697081531912,0.12141682313559145,2.940402169211109,0.0077976648669371255
30,128,0.1,x0y1,0.4156314550441065,0.2586014205513895,0.0011270707282663326,-0.15703003449271696,0.02465843173278388,1.2702884265148015e-6,0.024659702021210397,8.847853796125625,0.0003789066276621836
30,128,0.1,x1y0,0.4156314550441065,0.36595093762461195,0.0030636040142228774,-0.04968051741949453,0.0024681538110686995,9.385669555962527e-6,0.002477539480624662,5.857012413837967,0.0012658858857891476
30,128,0.1,x1y1,0.6579625772407729,0.2449159337792047,0.005851794757731835,-0.41304664346156816,0.1706075296748678,3.4243501886617786e-5,0.1706417731767544,3.4664121785994304,0.00314303331656399
30,128,0.1,EZ,18.756421010255902,10.1084959143196,0.03396436889789928,-8.647925095936303,74.78660846492492,0.001153578354632588,74.78776204327956,3.0043227986942407,0.019595224905956363
30,128,0.1,EZ2,411.8655080634562,130.83612115551736,0.5946925622342096,-281.02938690793883,78977.51630585198,0.35365924357668926,78977.86996509555,3.4254794578529046,0.32131560879715615
30,128,0.1,EZ3,10593.800559229183,2043.0249728995655,8.111101202088047,-8550.775586329617,7.31157631277706e7,65.78996271051416,7.311582891773331e7,4.267915519626071,3.926195427897501
30,128,1.0,x0y0,0.5673051356094784,0.4896766187306489,0.026763932602663704,-0.07762851687882949,0.006026186632806715,0.0007163080883599252,0.00674249472116664,34.122481214179025,0.0045817314044975235
30,128,1.0,x0y1,0.38978912652045816,0.312217655721517,0.02283837449801786,-0.07757147079894117,0.006017333081910982,0.0005215913497117126,0.006538924431622695,59.97959900402679,0.0029489228534928832
30,128,1.0,x1y0,0.3897891265204582,0.43794780716265547,0.03565225832081074,0.04815868064219725,0.002319258521197144,0.0012710835233738186,0.003590342044570962,50.943127258376045,0.00499510065235739
30,128,1.0,x1y1,0.5055963014140831,0.29861269311473654,0.039844516737862386,-0.20698360829934653,0.04284221410461732,0.001587585514073796,0.04442979961869111,28.126049171544476,0.007513013996616219
30,128,1.0,EZ,14.194122424867857,10.374906547540204,0.03395394180650359,-3.819215877327652,14.586409917631627,0.0011528701641994323,14.587562787795827,16.179576819560847,0.008441247241510757
30,128,1.0,EZ2,255.3760501997026,135.51837655432686,0.7851708738675737,-119.85767364537574,14365.861931681398,0.6164933011699693,14366.478424982568,9.689098028248424,0.25224496492906984
30,128,1.0,EZ3,5700.199846201281,2117.1005554592352,19.939793991366233,-3583.0992907420455,1.283860052731615e7,397.5953844181249,1.2838998122700568e7,10.314284387527652,6.20870629992733
30,1024,0.05,x0y0,0.7474227196093675,0.4653124378350104,0.0017106825037063902,-0.28211028177435704,0.07958621108280713,2.9264346284871637e-6,0.07958913751743561,13.323869440558212,0.0004686560516773729
